feat_idx,feat_name,gain_importance
737,IGKV2D-30,0.23329557
278,TRAV38-1,0.11221014
1062,F13A1,0.089844376
428,CD207,0.08007628
1690,PTGER2,0.03280212
134,FCER1A,0.028126955
782,NAPSA,0.01925496
247,SFTA2,0.017831482
164,RNASE1,0.016437722
51,CCL7,0.011515566
1924,AL133415.1,0.011309304
1741,PHKG1,0.009987884
130,AGR3,0.009057745
1154,IL26,0.008658636
1537,AC114760.2,0.008099077
678,EMP1,0.007952754
425,IL17A,0.007443878
547,IL17F,0.0069155875
898,PHLDA2,0.0062663476
392,TRBV11-1,0.005888079
1063,C1orf56,0.005548592
1816,IGKV3-7,0.0053718267
843,RPS17,0.0050456
809,AC233755.1,0.0046183895
1071,AL138963.3,0.0039233156
256,TRAV1-1,0.0038317416
101,S100A8,0.0034125727
831,IGHV3-69-1,0.0033671975
871,IFNA16,0.003142787
1012,SNHG25,0.0031132053
1830,ZBP1,0.0031093236
1817,TNFSF13,0.0030895115
695,INSIG1,0.0030608058
1453,AP005057.1,0.003021223
457,HLA-DQA2,0.0029542057
1608,ID2,0.0029047595
901,AC114291.1,0.0028504108
1446,PAGE5,0.0027361254
1355,TCF7,0.0026917988
1966,IFNL3,0.002622594
1820,IGHV1-58,0.0025005245
20,SPP1,0.002412629
1035,SHD,0.0024024837
174,IFNA8,0.0023589712
962,CLDN18,0.0022351125
651,VPREB3,0.0021671373
219,TRAV5,0.0020678078
834,IGKV1D-13,0.0020465183
163,TMPRSS11B,0.0020243076
6,BPIFB1,0.0019991226
613,DEFB1,0.0019676613
792,CRH,0.0019047505
19,AGR2,0.0018820808
1335,SEC14L3,0.0018270436
414,TRAV2,0.0017535114
517,UCA1,0.0017477421
847,SOCS1,0.0016548443
964,CYP19A1,0.0015923434
723,TMPRSS11E,0.0015661506
999,S100A1,0.0015543406
1595,LINC01827,0.0015442446
1613,CHN1,0.0015352201
1580,SELENBP1,0.0015115438
58,CXCL10,0.0015010425
574,SERPINB11,0.0014146987
1651,CDKN1A,0.0013825477
1060,GNG2,0.0013706298
458,CETN2,0.0013604079
467,KLK10,0.001304496
1859,SIGLEC14,0.0012576703
1469,CLNK,0.0012512822
1508,NEXN,0.001248585
1884,CD48,0.0012320532
372,TRGV2,0.0011930985
1683,ZBTB20-AS2,0.0011511163
85,HAMP,0.0011492876
741,MDK,0.0011321042
946,MARCKS,0.0011314849
1042,RPS10,0.0011256707
1911,IL3,0.0011186182
14,TFF3,0.0011168155
1365,RNASE2,0.0011028138
592,HIST2H2AA4,0.0010829436
551,TRDV3,0.0010822677
1383,OTUD1,0.0010334903
1086,NPTX2,0.0010236732
473,ALDH3A1,0.0010020119
649,HLA-DQA1,0.00097257475
1389,BLK,0.00096812926
0,SLPI,0.00096622
421,HES1,0.00095749606
1796,DNAH2,0.0009511246
343,CHIT1,0.00092448795
1143,TMPRSS2,0.0009137548
945,AL157895.1,0.0009123185
539,IL1R2,0.0009098418
1497,FNIP2,0.0009086616
850,IL2,0.0009075263
1776,GNG11,0.00090516784
200,TRAV12-2,0.0009022894
1176,VAMP5,0.0008989161
1644,AL121899.1,0.00089514314
29,CCL8,0.0008764653
1385,DNAH3,0.00086619816
265,TRBV25-1,0.0008645888
757,LINC01943,0.00085827307
45,CXCL8,0.0008502996
658,NFKBIA,0.0008479047
1301,ID3,0.0008475162
722,TRGV4,0.00084458117
1134,ANKRD22,0.0008424414
1599,CABCOCO1,0.00084201596
1505,RAB25,0.000834246
193,CXCL5,0.0008170223
1315,CD14,0.00080055883
120,TRBV6-5,0.0007929928
96,MUC5B,0.0007869647
299,IFNG,0.00077960826
605,FOXI1,0.00077728886
1650,DZIP3,0.0007734197
1933,ATP6V0C,0.0007699264
1899,NSG1,0.00076924043
1699,RARRES3,0.00076636963
1330,EZR,0.00075680617
1402,CLCA2,0.00075326266
878,A2ML1,0.0007477461
42,IGHM,0.00074531423
389,CD1A,0.0007418796
1436,TNFRSF25,0.0007392121
1267,ZG16B,0.0007364846
178,TRBV10-2,0.000728821
108,MT1X,0.0007115798
1208,HSD17B13,0.0007061224
753,C22orf15,0.00070067967
1775,RASAL3,0.00069222343
408,GZMH,0.0006846078
583,HP,0.0006699148
509,CD3D,0.0006646696
99,TRBV7-6,0.00065934844
1907,CXCR2,0.0006377058
1866,GBP4,0.000634154
62,CXCL17,0.0006286321
1762,LRTOMT,0.0006246096
1739,CACNA1G,0.000622926
758,IL5,0.0006154529
504,CRIP1,0.00060862204
169,CXCL11,0.0006070537
519,RSAD2,0.00060465134
1,SCGB1A1,0.0005779444
344,CXCL14,0.0005741912
1625,TIMD4,0.00057396706
338,FN1,0.00057239167
950,CD300LB,0.00056891044
535,FOLR3,0.00055714627
795,IL6,0.0005549199
587,MTRNR2L8,0.00055487134
879,FOSB,0.00055302284
631,IFNE,0.00054767734
1746,RIBC1,0.0005415624
1299,SPEF1,0.00053630356
1026,IFNA17,0.0005344546
161,CXCL1,0.0005336642
118,CCL3,0.0005178096
1047,ZBBX,0.00051689346
1941,FAM84A,0.00051467505
562,CD69,0.0005134819
