feat_idx,feat_name,gain_importance
136,C2orf40,0.21008219
1425,SLAMF1,0.16066156
186,OMG,0.10096806
2,SCGB3A1,0.07869683
242,TRAV8-4,0.076871365
1210,LINC00299,0.062607914
14,TFF3,0.06177333
393,APOC2,0.06034615
1438,IRAK2,0.036782656
1456,ZNF277,0.034049697
527,TRBV21-1,0.021944692
447,TRAV30,0.017049208
1715,CD59,0.015902208
1133,DUSP4,0.012736868
1089,CLEC4E,0.012378465
1826,OXNAD1,0.011533455
1705,PRDM1,0.010244601
720,CAMP,0.009084171
1716,FPR1,0.006286638
1334,PHACTR1,0.0
1333,AC013457.1,0.0
1335,SEC14L3,0.0
1336,C21orf58,0.0
1337,CDC20,0.0
1332,EOMES,0.0
1331,TRIM29,0.0
0,SLPI,0.0
1330,EZR,0.0
1329,AK4,0.0
1328,MT-ND4L,0.0
1339,PLIN2,0.0
1327,LYVE1,0.0
1326,MET,0.0
1325,LEF1,0.0
1324,CDT1,0.0
1323,ENPP1,0.0
1322,PLEKHF1,0.0
1321,TSTD1,0.0
1320,ITGA4,0.0
1319,LINC00707,0.0
1338,RCAN2,0.0
1344,PIM1,0.0
1340,PI16,0.0
1356,LILRA5,0.0
1369,MAFA,0.0
1368,ATP12A,0.0
1367,LINC01765,0.0
1366,ACTN2,0.0
1365,RNASE2,0.0
1364,FANK1,0.0
1363,MYL9,0.0
1362,IL36G,0.0
1361,HIST2H2BF,0.0
1360,SFTPD,0.0
1359,PLS3,0.0
1358,CENPM,0.0
1357,AL672032.1,0.0
1355,TCF7,0.0
1341,CD83,0.0
1354,GRAP2,0.0
1353,SH2D1A,0.0
1352,MLF1,0.0
1351,CDKN2B,0.0
1350,DCDC2B,0.0
1349,CA2,0.0
1348,IL23R,0.0
1347,CD55,0.0
1346,AC133644.2,0.0
1345,DNAI1,0.0
1317,SERPINE1,0.0
1343,PKIB,0.0
1342,IFT22,0.0
1318,LAMP5,0.0
1311,CD5,0.0
1316,FGL2,0.0
1315,CD14,0.0
1284,MSC,0.0
1283,EMP2,0.0
1282,SLC4A1,0.0
1281,TENT5C,0.0
1280,CDK1,0.0
1279,CRIP2,0.0
1278,NR1H3,0.0
1277,BBOF1,0.0
1276,ZFP36L1,0.0
1275,MSR1,0.0
1274,ATF5,0.0
1273,PFN2,0.0
1272,CEACAM1,0.0
1271,DNAH10,0.0
1270,CCK,0.0
1269,ODF3B,0.0
1268,NMU,0.0
1267,ZG16B,0.0
1266,BCL11B,0.0
1265,LY9,0.0
1264,DNAH7,0.0
1263,FCMR,0.0
1262,FEZ1,0.0
1261,BASP1,0.0
1260,C11orf96,0.0
1259,C5orf63,0.0
1258,OSCP1,0.0
1285,IQCN,0.0
1286,MOV10L1,0.0
1287,CD36,0.0
1302,CCRL2,0.0
1314,CD9,0.0
1313,SKAP1,0.0
1312,PPP1R32,0.0
1371,RHOD,0.0
1310,C10orf55,0.0
1309,DYNC2H1,0.0
1308,LINC02397,0.0
1307,STAB1,0.0
1306,KCNJ15,0.0
1305,PYHIN1,0.0
1304,SOX2,0.0
1303,HIST1H2BG,0.0
1301,ID3,0.0
1288,HPSE,0.0
1300,SOCS3,0.0
1299,SPEF1,0.0
1298,PTTG1,0.0
1297,XBP1,0.0
1296,PPIF,0.0
1295,SIT1,0.0
1294,MIA,0.0
1293,SPAG8,0.0
1292,SLC2A3,0.0
1291,TGM3,0.0
1290,PLAC4,0.0
1289,C6orf118,0.0
1370,PACRG,0.0
1375,AC003092.1,0.0
1372,DSG3,0.0
1467,CFAP44,0.0
1465,PLEKHS1,0.0
1464,TREM2,0.0
